external_operation_id,source_file,source_date,planta_original,planta_normalized,mov_original,mov,movement_type,movement_type_detail,patente_original,plate_normalized,contrato,cliente_contrato,ingreso_id,comprob,cp_remito,ctg,cupo,entregado_por_a,localidad_proc_dest,fecha_ing_original,hora_ing_original,fecha_calado_original,hora_calado_original,fecha_sal_original,hora_sal_original,external_ingreso_at,external_calado_at,external_salida_at,cod_prod,producto_original,product_normalized,plataforma_original,platform_normalized,plataforma_manual,kgs_bruto,kgs_tara,kgs_neto,kgs_neto_neto,humedad,observaciones,observacion_calidad,normalization_warnings,external_sl_balanza_entrada_at,external_sl_balanza_salida_at,tiempos_entre_pasos_source_file,tiempos_entre_pasos_match
CTG_10133103589,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,AD910XD,AD910XD,2000652,LDC ARGENTINA S.A.-30526712729-221642,14439172,000404032469,0001000004883,10133103589,VIC201801250626,SCILINGO HNOS S.A.-30714158887-250519,LOS JURIES - SANTIAGO DEL ESTERO - CP 37631,25/06/2026,14:05,25/06/2026,21:53,26/06/2026,00:23,2026-06-25T14:05:00,2026-06-25T21:53:00,2026-06-26T00:23:00,0301,SOJA,SOJA,VOLCABLE PTO 1,VOLCABLE_PTO_1,,52120,15600,36520,36520,10.2,"FAZON 2026, FAZON 2026",,,2026-06-25T23:40:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10133093435,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,AC369WE,AC369WE,2000662,CARGILL S.A.C.I.-30506792165-220165,14439154,000404032470,0000100001174,10133093435,VIC897205250626,FYO ACOPIO S.A.-30711855641-249107,TRES ESTACAS - CHACO - CP 3731,25/06/2026,13:33,25/06/2026,21:17,26/06/2026,00:27,2026-06-25T13:33:00,2026-06-25T21:17:00,2026-06-26T00:27:00,0301,SOJA,SOJA,VOLCABLE PTO 5,VOLCABLE_PTO_5,,52760,15760,37000,36117,14,"FAZON PTO 2026, FAZON PTO 2026",,,2026-06-25T22:54:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10233115379,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,AF674YH,AF674YH,2000655,COMMODITIES S.A.-30640872566-222089,14439081,000404032471,0000500010628,10233115379,VIC202459250626,COOP.AGRIC.GAN.Y DE SERV.PU ARANGUREN LT-30534003761-220584,NOGOYA (E.R) - ENTRE RIOS - CP 31500,25/06/2026,11:08,25/06/2026,20:00,26/06/2026,00:28,2026-06-25T11:08:00,2026-06-25T20:00:00,2026-06-26T00:28:00,0301,SOJA,SOJA,VOLCABLE PTO 2,VOLCABLE_PTO_2,,52440,17120,35320,35179,13,"FAZON 2026, FAZON 2026",,,2026-06-25T23:53:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10233117318,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,GXN483,GXN483,2000651,UNION AGRICOLA DE AVELLANEDA COOP.LTDA.-30501912405-220345,14439090,000404032472,0000100001584,10233117318,VIC300466250626,SCILINGO HNOS S.A.-30714158887-250519,CARMEN DEL SAUCE - SANTA FE - CP 21092,25/06/2026,11:35,25/06/2026,20:07,26/06/2026,00:30,2026-06-25T11:35:00,2026-06-25T20:07:00,2026-06-26T00:30:00,0301,SOJA,SOJA,VOLCABLE PTO 3,VOLCABLE_PTO_3,,44920,14060,30860,30551,12.4,"FAZON 2026, FAZON 2026",,,2026-06-25T23:55:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10233108365,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,FBQ587,FBQ587,2000662,CARGILL S.A.C.I.-30506792165-220165,14439191,000404032473,0010000538073,10233108365,VIC544163240626,A.C.A. EXPORTACION-30500120882-220709,BRAGADO (BAS) - BUENOS AIRES - CP 66400,25/06/2026,14:24,25/06/2026,22:16,26/06/2026,00:31,2026-06-25T14:24:00,2026-06-25T22:16:00,2026-06-26T00:31:00,0301,SOJA,SOJA,VOLCABLE PTO 1,VOLCABLE_PTO_1,,44740,14300,30440,30440,13.3,"FAZON PTO 2026, FAZON PTO 2026",,,2026-06-25T23:52:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10133097985,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,AF206BP,AF206BP,2000662,CARGILL S.A.C.I.-30506792165-220165,14439160,000404032474,0000100004616,10133097985,VIC008904250626,CARGILL S.A.C.I.-30506792165-220165,SACHAYOJ - SANTIAGO DEL ESTERO - CP 37312,25/06/2026,13:50,25/06/2026,21:34,26/06/2026,00:32,2026-06-25T13:50:00,2026-06-25T21:34:00,2026-06-26T00:32:00,0301,SOJA,SOJA,VOLCABLE PTO 2,VOLCABLE_PTO_2,,44480,14120,30360,30360,12.4,"FAZON PTO 2026, FAZON PTO 2026",,,2026-06-25T23:41:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
COMPROB_000200430699,MovimientosPorContrato_20260626.xlsx,2026-06-26,PLANTA AVELLANEDA,AVELLANEDA,I,I,INGRESO,I,AH539QA,AH539QA,999823,,14439286,000200430699,0000100024952,0,,TODO PALLETS S.R.L.-30708004592-713580,COLONIA SANTA ROSA - CORRIENTES - CP 34211,25/06/2026,17:32,,,26/06/2026,00:32,2026-06-25T17:32:00,,2026-06-26T00:32:00,0823,CHIP DE PINO,CHIP DE PINO,PLAYA LEÑA Y CHIP,PLAYA_LEÑA_Y_CHIP,achavez,44640,14100,30540,30540,0,,,UNKNOWN_PLATFORM_MAPPING,2026-06-25T20:33:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10133093607,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,NFS501,NFS501,2000662,CARGILL S.A.C.I.-30506792165-220165,14439192,000404032475,0000000001659,10133093607,VIC247501250626,A.C.A. EXPORTACION-30500120882-220709,AVERIAS - SANTIAGO DEL ESTERO - CP 37661,25/06/2026,14:26,25/06/2026,22:18,26/06/2026,00:33,2026-06-25T14:26:00,2026-06-25T22:18:00,2026-06-26T00:33:00,0301,SOJA,SOJA,VOLCABLE PTO 3,VOLCABLE_PTO_3,,52160,17840,34320,34320,11.2,"FAZON PTO 2026, FAZON PTO 2026",,,2026-06-25T23:56:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10233114610,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,MID428,MID428,2000655,COMMODITIES S.A.-30640872566-222089,14439082,000404032476,0000500010627,10233114610,VIC051773250626,COOP.AGRIC.GAN.Y DE SERV.PU ARANGUREN LT-30534003761-220584,NOGOYA (E.R) - ENTRE RIOS - CP 31500,25/06/2026,11:14,25/06/2026,20:02,26/06/2026,00:35,2026-06-25T11:14:00,2026-06-25T20:02:00,2026-06-26T00:35:00,0301,SOJA,SOJA,VOLCABLE PTO 2,VOLCABLE_PTO_2,,51600,15540,36060,35916,13,"FAZON 2026, FAZON 2026",,,2026-06-25T23:54:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10233111741,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,GVS199,GVS199,2000655,COMMODITIES S.A.-30640872566-222089,14439183,000404032477,0000100004713,10233111741,VIC821317250626,ARGENTRADING SA-30711629048-251220,LA PUERTA - CORDOBA - CP 52811,25/06/2026,14:18,25/06/2026,22:06,26/06/2026,00:37,2026-06-25T14:18:00,2026-06-25T22:06:00,2026-06-26T00:37:00,0301,SOJA,SOJA,VOLCABLE PTO 5,VOLCABLE_PTO_5,,52160,17280,34880,34193,14.5,"FAZON 2026, FAZON 2026",,,2026-06-25T23:16:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10133105520,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,AF461KM,AF461KM,2000655,COMMODITIES S.A.-30640872566-222089,14439063,000404032478,0592900000021,10133105520,VIC952879250626,CEREALISTAS MOLDES S.A.-30698538631-230478,CORONEL MOLDES (CBA) - CORDOBA - CP 58470,25/06/2026,10:29,25/06/2026,19:42,26/06/2026,00:38,2026-06-25T10:29:00,2026-06-25T19:42:00,2026-06-26T00:38:00,0301,SOJA,SOJA,VOLCABLE PTO 1,VOLCABLE_PTO_1,,44560,14040,30520,30154,13.5,"FAZON 2026, FAZON 2026",,,2026-06-25T23:49:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10133105576,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,TNJ810,TNJ810,2000662,CARGILL S.A.C.I.-30506792165-220165,14439185,000404032479,0000000001131,10133105576,VIC460070250626,J.H.B SAU-30717114422-303300,QUIMILI (SGO) - SANTIAGO DEL ESTERO - CP 3740,25/06/2026,14:19,25/06/2026,22:08,26/06/2026,00:40,2026-06-25T14:19:00,2026-06-25T22:08:00,2026-06-26T00:40:00,0301,SOJA,SOJA,VOLCABLE PTO 5,VOLCABLE_PTO_5,,45240,15720,29520,29142,13.9,"FAZON PTO 2026, FAZON PTO 2026",,,2026-06-25T23:18:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10233097845,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,GGK832,GGK832,2000662,CARGILL S.A.C.I.-30506792165-220165,14439094,000404032480,0010000537946,10233097845,VIC589977250626,A.C.A. EXPORTACION-30500120882-220709,WHEELWRIGHT (SFE) - SANTA FE - CP 27220,25/06/2026,11:42,25/06/2026,20:13,26/06/2026,00:41,2026-06-25T11:42:00,2026-06-25T20:13:00,2026-06-26T00:41:00,0301,SOJA,SOJA,VOLCABLE PTO 1,VOLCABLE_PTO_1,,45160,14080,31080,30831,11.3,"FAZON PTO 2026, FAZON PTO 2026",,,2026-06-25T23:59:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10233097969,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,DYS129,DYS129,2000662,CARGILL S.A.C.I.-30506792165-220165,14439096,000404032481,0010000537950,10233097969,VIC745441250626,A.C.A. EXPORTACION-30500120882-220709,WHEELWRIGHT (SFE) - SANTA FE - CP 27220,25/06/2026,11:50,25/06/2026,20:14,26/06/2026,00:43,2026-06-25T11:50:00,2026-06-25T20:14:00,2026-06-26T00:43:00,0301,SOJA,SOJA,VOLCABLE PTO 2,VOLCABLE_PTO_2,,44940,15040,29900,29631,12.8,"FAZON PTO 2026, FAZON PTO 2026",,,2026-06-26T00:00:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10233114545,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,FFF699,FFF699,2000662,CARGILL S.A.C.I.-30506792165-220165,14439100,000404032482,0010000006950,10233114545,VIC731987250626,COOP.AG.GA.DE EL TREBOL LTDA.-30532044282-220214,EL TREBOL (SFE) - SANTA FE - CP 25350,25/06/2026,12:14,25/06/2026,20:19,26/06/2026,00:44,2026-06-25T12:14:00,2026-06-25T20:19:00,2026-06-26T00:44:00,0301,SOJA,SOJA,VOLCABLE PTO 3,VOLCABLE_PTO_3,,44860,14540,30320,30077,13.5,"FAZON PTO 2026, FAZON PTO 2026",,,2026-06-26T00:01:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10233110803,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,SQS547,SQS547,2000655,COMMODITIES S.A.-30640872566-222089,14439186,000404032483,0003200006575,10233110803,VIC472742250626,TOMAS HNOS.Y CIA.S.A.-30537721274-222823,GENERAL VILLEGAS - BUENOS AIRES - CP 62300,25/06/2026,14:21,25/06/2026,22:10,26/06/2026,00:46,2026-06-25T14:21:00,2026-06-25T22:10:00,2026-06-26T00:46:00,0301,SOJA,SOJA,VOLCABLE PTO 5,VOLCABLE_PTO_5,,45180,14920,30260,29803,14.1,"FAZON 2026, FAZON 2026",,,2026-06-25T23:19:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10133093278,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,AD644LA,AD644LA,2000662,CARGILL S.A.C.I.-30506792165-220165,14439103,000404032484,0000100001173,10133093278,VIC510131250626,FYO ACOPIO S.A.-30711855641-249107,TRES ESTACAS - CHACO - CP 3731,25/06/2026,12:16,25/06/2026,20:22,26/06/2026,00:58,2026-06-25T12:16:00,2026-06-25T20:22:00,2026-06-26T00:58:00,0301,SOJA,SOJA,VOLCABLE PTO 5,VOLCABLE_PTO_5,,52280,15420,36860,36197,12.6,"FAZON PTO 2026, FAZON PTO 2026",,,2026-06-26T00:02:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10233119348,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,FEM709,FEM709,2000655,COMMODITIES S.A.-30640872566-222089,14439207,000404032485,0000700010788,10233119348,VIC795131250626,JOSE A. CUSATO S.A.-30539703850-222466,SARASA - BUENOS AIRES - CP 27211,25/06/2026,14:56,25/06/2026,22:44,26/06/2026,01:02,2026-06-25T14:56:00,2026-06-25T22:44:00,2026-06-26T01:02:00,0301,SOJA,SOJA,VOLCABLE PTO 5,VOLCABLE_PTO_5,,45100,14080,31020,31020,12.6,"FAZON 2026, FAZON 2026",,,2026-06-26T00:12:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10133103388,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,CEP307,CEP307,2000655,COMMODITIES S.A.-30640872566-222089,14439202,000404032486,0000000000453,10133103388,VIC528177250626,SCILINGO HNOS S.A.-30714158887-250519,LUIS PALACIOS (SFE) - SANTA FE - CP 21421,25/06/2026,14:48,25/06/2026,22:29,26/06/2026,01:12,2026-06-25T14:48:00,2026-06-25T22:29:00,2026-06-26T01:12:00,0301,SOJA,SOJA,VOLCABLE PTO 3,VOLCABLE_PTO_3,,45260,14260,31000,31000,12.7,"FAZON 2026, FAZON 2026",,,2026-06-26T00:03:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10233119207,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,AB900YE,AB900YE,2000655,COMMODITIES S.A.-30640872566-222089,14439206,000404032487,0000700010786,10233119207,VIC955494250626,JOSE A. CUSATO S.A.-30539703850-222466,SARASA - BUENOS AIRES - CP 27211,25/06/2026,14:55,25/06/2026,22:42,26/06/2026,01:14,2026-06-25T14:55:00,2026-06-25T22:42:00,2026-06-26T01:14:00,0301,SOJA,SOJA,VOLCABLE PTO 5,VOLCABLE_PTO_5,,44920,14300,30620,30620,12.6,"FAZON 2026, FAZON 2026",,,2026-06-26T00:13:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10233113142,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,AF386OW,AF386OW,2000655,COMMODITIES S.A.-30640872566-222089,14439198,000404032488,0000000000663,10233113142,VIC355782250626,SARDI OSCAR Y VERGANI LUIS-30697451060-228580,JUNIN (BAS) - BUENOS AIRES - CP 60000,25/06/2026,14:41,25/06/2026,22:25,26/06/2026,01:17,2026-06-25T14:41:00,2026-06-25T22:25:00,2026-06-26T01:17:00,0301,SOJA,SOJA,VOLCABLE PTO 2,VOLCABLE_PTO_2,,52480,16520,35960,35960,12.1,"FAZON 2026, FAZON 2026",,,2026-06-26T00:07:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10133115005,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,AB041DT,AB041DT,2000662,CARGILL S.A.C.I.-30506792165-220165,14439204,000404032489,0000000000598,10133115005,VIC412876250626,CARGILL S.A.C.I.-30506792165-220165,LUCAS SUD - ENTRE RIOS - CP 32413,25/06/2026,14:53,25/06/2026,22:38,26/06/2026,01:18,2026-06-25T14:53:00,2026-06-25T22:38:00,2026-06-26T01:18:00,0301,SOJA,SOJA,VOLCABLE PTO 3,VOLCABLE_PTO_3,,45180,15500,29680,29680,13.2,"FAZON PTO 2026, FAZON PTO 2026",,,2026-06-26T00:11:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10233111207,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,JAX039,JAX039,2000651,UNION AGRICOLA DE AVELLANEDA COOP.LTDA.-30501912405-220345,14439197,000404032490,0003700019657,10233111207,VIC911775250626,UNION AGRICOLA DE AVELLANEDA COOP.LTDA.-30501912405-220345,GENERAL PINEDO - CHACO - CP 37320,25/06/2026,14:37,25/06/2026,22:23,26/06/2026,01:20,2026-06-25T14:37:00,2026-06-25T22:23:00,2026-06-26T01:20:00,0301,SOJA,SOJA,VOLCABLE PTO 1,VOLCABLE_PTO_1,,45320,13600,31720,31720,11.5,"FAZON 2026, FAZON 2026",,,2026-06-26T00:04:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
CTG_10233123060,MovimientosPorContrato_20260626.xlsx,2026-06-26,TERMINAL DE EMBARQUE,TERMINAL_EMBARQUE,I,I,INGRESO,I,ROP870,ROP870,2000652,LDC ARGENTINA S.A.-30526712729-221642,14439205,000404032491,0001300006249,10233123060,VIC137455260626,COOP.AGR.LA VIOLETA LTDA.-30534951341-220200,VILLA RAMALLO - BUENOS AIRES - CP 29140,25/06/2026,14:54,25/06/2026,22:40,26/06/2026,01:21,2026-06-25T14:54:00,2026-06-25T22:40:00,2026-06-26T01:21:00,0301,SOJA,SOJA,VOLCABLE PTO 2,VOLCABLE_PTO_2,,44440,13740,30700,30700,12.3,"FAZON 2026, FAZON 2026",,,2026-06-26T00:09:00,,TiemposEntrePasos_20260625.xlsx,INGRESO_ID
